Area,Price per Month,Address,City,Price,Name,contact_details
"4,800 ft²","$8,000/mo","Bays 142, 152, 162, 5334 - 72 Ave SE - ...","Calgary, AB","$20.00/sf/yr$8,000/mo",Wayne Berry,https://www.spacelist.ca/listings/816076/ab/calgary/for-lease/retail/bays_142_152_162_5334-72_ave_se-5334_72_avenue_southeast
"55,321 ft²",Contact,2 - 5333 61 Avenue Southeast,"Calgary, AB",ContactContact,Nic Krywolt,https://www.spacelist.ca/listings/818050/ab/calgary/for-lease/retail/2-5333_61_avenue_southeast
"2,295 ft²","$4,589/mo",1001 - 4515 Macleod Trail,"Calgary, AB","$24.00/sf/yr$4,589/mo",Jas Sahota,https://www.spacelist.ca/listings/803031/ab/calgary/for-lease/retail/1001-4515_macleod_trail
"1,256 ft²","$3,768/mo",140 - 750 Nolan Hill Boulevard Northwest,"Calgary, AB","$36.00/sf/yr$3,768/mo",Angad Chahal,https://www.spacelist.ca/listings/810669/ab/calgary/for-lease/retail/140-750_nolan_hill_boulevard_northwest
"1,200 ft²","$3,600/mo",150 - 750 Nolan Hill Boulevard Northwest,"Calgary, AB","$36.00/sf/yr$3,600/mo",Angad Chahal,https://www.spacelist.ca/listings/810676/ab/calgary/for-lease/retail/150-750_nolan_hill_boulevard_northwest
"20,000 ft²",Contact,6311 Bowness Rd NW,"Calgary, AB",ContactContact,Peter Manousos,https://www.spacelist.ca/listings/320992/ab/calgary/for-lease/office-retail-medical/6311_bowness_rd_nw
"531-4,884 ft²",Contact,200 - 11625 Elbow Drive Southwest,"Calgary, AB",ContactContact,Brandon Lau,https://www.spacelist.ca/listings/186631/ab/calgary/for-lease/office-retail/200-11625_elbow_drive_southwest
"10,409 ft²",Contact,A100 - 207 9 Ave SW,"Calgary, AB",ContactContact,Jeff Robson,https://www.spacelist.ca/listings/285136/ab/calgary/for-lease/retail-medical/a100-207_9_ave_sw
"1,850 ft²",Contact,B014 - 326 11 Avenue Southwest,"Calgary, AB",ContactContact,Ryan Rutherford,https://www.spacelist.ca/listings/790287/ab/calgary/for-lease/retail/b014-326_11_avenue_southwest
"251,490 ft²","$628,725/mo",7 - 3616 52 Avenue Northwest,"Calgary, AB","$30.00/sf/yr$628,725/mo",Pat Vuong,https://www.spacelist.ca/listings/803615/ab/calgary/for-lease/retail/7-3616_52_avenue_northwest
"2,146 ft²",Contact,1816 - 1814 33 Street Southeast,"Calgary, AB",ContactContact,Ryan Rutherford,https://www.spacelist.ca/listings/628675/ab/calgary/for-lease/retail/1816-1814_33_street_southeast
"1,587 ft²",Contact,320 - 250 Legacy Village Link Southeast,"Calgary, AB",ContactContact,Jonathan Gheron,https://www.spacelist.ca/listings/627569/ab/calgary/for-lease/retail/320-250_legacy_village_link_southeast
"645-12,819 ft²",Contact,112 4 Avenue Southwest,"Calgary, AB",ContactContact,Ryan Rutherford,https://www.spacelist.ca/listings/743892/ab/calgary/for-lease/retail/112_4_avenue_southwest
"6,240 ft²",Contact,Floor: 1 - 10455 Southport Road Southwest,"Calgary, AB",ContactContact,Ryan Rutherford,https://www.spacelist.ca/listings/780600/ab/calgary/for-lease/retail/floor_1-10455_southport_road_southwest
"1,715 ft²",Contact,52 - 6130 1A Street Southwest,"Calgary, AB",ContactContact,Ryan Rutherford,https://www.spacelist.ca/listings/774957/ab/calgary/for-lease/retail/52-6130_1a_street_southwest
