Area,Price per Month,Address,City,Price,Name,contact_details
"2,800 ft²","$4,491/mo",09 - 9909 73 Ave NW,"Edmonton, AB","$19.25/sf/yr$4,491/mo",Jim McKinnon,https://www.spacelist.ca/listings/808730/ab/edmonton/for-lease/office-retail-industrial/09-9909_73_ave_nw
"2,800 ft²",Not available,09 - 9909 73 Ave NW,"Edmonton, AB","$550,000",Jim McKinnon,https://www.spacelist.ca/listings/811446/ab/edmonton/for-sale/office-retail-industrial/09-9909_73_ave_nw
"3,278 ft²","$4,097/mo",411 - 8170 50 St NW,"Edmonton, AB","$15.00/sf/yr$4,097/mo",Jim McKinnon,https://www.spacelist.ca/listings/812299/ab/edmonton/for-lease/retail/411-8170_50_st_nw
"2,000 ft²",Contact,9432 118 Avenue Northwest,"Edmonton, AB",ContactContact,Noah Issa,https://www.spacelist.ca/listings/775826/ab/edmonton/for-lease/retail/9432_118_avenue_northwest
"2,000-8,640 ft²",Contact,2803 Mill Woods Rd NW,"Edmonton, AB",ContactContact,Noah Issa,https://www.spacelist.ca/listings/792402/ab/edmonton/for-lease/retail/2803_mill_woods_rd_nw
"1,563 ft²","$2,832/mo",14903 - 14903 111 Avenue Northwest,"Edmonton, AB","$21.75/sf/yr$2,832/mo",Chad Snow,https://www.spacelist.ca/listings/384073/ab/edmonton/for-lease/retail/14903-14903_111_avenue_northwest
"1,502 ft²",Not available,4 - 3371 153 Avenue Northwest,"Edmonton, AB",Contact,AveryAnna Roberge-Eadie,https://www.spacelist.ca/listings/715458/ab/edmonton/for-sale/office-retail-medical/4-3371_153_avenue_northwest
"2,248-3,049 ft²",Contact,10137 104 Street Northwest,"Edmonton, AB",ContactContact,MGH Retail,https://www.spacelist.ca/listings/389267/ab/edmonton/for-lease/office-retail-medical/10137_104_street_northwest
"2,086 ft²","$3,998/mo",104 - 10160 116 Street Northwest,"Edmonton, AB","$23.00/sf/yr$3,998/mo",Erin Kobayashi,https://www.spacelist.ca/listings/784582/ab/edmonton/for-lease/office-retail-other/104-10160_116_street_northwest
"3,002 ft²","$5,753/mo",102 - 10160 116 Street Northwest,"Edmonton, AB","$23.00/sf/yr$5,753/mo",Erin Kobayashi,https://www.spacelist.ca/listings/784584/ab/edmonton/for-lease/office-retail-other/102-10160_116_street_northwest
"2,919 ft²",Contact,10301 65 Avenue,"Edmonton, AB",ContactContact,MGH Retail,https://www.spacelist.ca/listings/734216/ab/edmonton/for-lease/office-retail/10301_65_avenue
"2,206 ft²","$2,573/mo",115 - 8170 50 St NW,"Edmonton, AB","$14.00/sf/yr$2,573/mo",Jim McKinnon,https://www.spacelist.ca/listings/810347/ab/edmonton/for-lease/retail/115-8170_50_st_nw
"810-1,766 ft²",Contact,10116 117 Street Northwest,"Edmonton, AB",ContactContact,MGH Retail,https://www.spacelist.ca/listings/307354/ab/edmonton/for-lease/retail/10116_117_street_northwest
841 ft²,$981/mo,125 - 8170 50 St NW,"Edmonton, AB",$14.00/sf/yr$981/mo,Jim McKinnon,https://www.spacelist.ca/listings/816115/ab/edmonton/for-lease/retail/125-8170_50_st_nw
"4,561 ft²","$8,076/mo",10139 Princess Elizabeth Avenue Northwest,"Edmonton, AB","$21.25/sf/yr$8,076/mo",Noah Issa,https://www.spacelist.ca/listings/800868/ab/edmonton/for-lease/office-retail/10139_princess_elizabeth_avenue_northwest
"1,100-6,138 ft²",Contact,13030 50 Street Northwest,"Edmonton, AB",ContactContact,Noah Issa,https://www.spacelist.ca/listings/799745/ab/edmonton/for-lease/retail/13030_50_street_northwest
"1,000-2,500 ft²",Contact,202 - 11803 114 Avenue NW,"Edmonton, AB",ContactContact,Erin Kobayashi,https://www.spacelist.ca/listings/761990/ab/edmonton/for-lease/office-retail-medical/202-11803_114_avenue_nw
"1,231 ft²","$1,436/mo",103 - 8170 50 St NW,"Edmonton, AB","$14.00/sf/yr$1,436/mo",Jim McKinnon,https://www.spacelist.ca/listings/816114/ab/edmonton/for-lease/retail/103-8170_50_st_nw
"1,212 ft²",Contact,101 - 11803 114 Avenue NW,"Edmonton, AB",ContactContact,Erin Kobayashi,https://www.spacelist.ca/listings/758344/ab/edmonton/for-lease/office-retail-medical/101-11803_114_avenue_nw
"1,300-2,800 ft²","$1,408/mo",1-3 - 11515 105 Ave NW,"Edmonton, AB","$13.00/sf/yr$1,408/mo",Erin Kobayashi,https://www.spacelist.ca/listings/803015/ab/edmonton/for-lease/office-retail-medical/1-3-11515_105_ave_nw
"5,804 ft²","$6,277/mo",11527 160 Street Northwest,"Edmonton, AB","$12.98/sf/yr$6,277/mo",Jonathan Zukiwsky,https://www.spacelist.ca/listings/538071/ab/edmonton/for-lease/retail-industrial/11527_160_street_northwest
"2,738-3,049 ft²",Contact,9122 51 Ave NW,"Edmonton, AB",ContactContact,MGH Retail,https://www.spacelist.ca/listings/331432/ab/edmonton/for-lease/retail/9122_51_ave_nw
