Area,Price per Month,Address,City,Price,Name,contact_details
108 ft²,$291/mo,Book a reserved coworking spot or hot ...,"Toronto, ON",$32.33/sf/yr$291/mo,Regus,https://www.spacelist.ca/listings/293831/on/toronto/for-lease/office/book_a_reserved_coworking_spot_or_hot_desk_in_west_toronto-etobicoke-10_four_seasons_pl
86 ft²,$251/mo,Access professional office space in West ...,"Toronto, ON",$35.05/sf/yr$251/mo,Regus,https://www.spacelist.ca/listings/469498/on/toronto/for-lease/office/access_professional_office_space_in_west_toronto-etobicoke-10_four_seasons_pl
"2,810 ft²","$9,132/mo",200 - 866 The Queensway,"Toronto, ON","$39.00/sf/yr$9,132/mo",Rory McCaw,https://www.spacelist.ca/listings/621031/on/toronto/for-lease/office-medical/200-866_the_queensway
"9,365 ft²","$24,800/mo",800 - 1277 Morningside Avenue,"Toronto, ON","$31.78/sf/yr$24,800/mo",Ramit Kar,https://www.spacelist.ca/listings/649140/on/toronto/for-lease/industrial/800-1277_morningside_avenue
"1,980 ft²","$7,100/mo",600 - 70 Jutland Road,"Toronto, ON","$43.03/sf/yr$7,100/mo",Ramit Kar,https://www.spacelist.ca/listings/787835/on/toronto/for-lease/industrial/600-70_jutland_road
"5,000 ft²","$11,200/mo",600 - 118 Howden Road,"Toronto, ON","$26.88/sf/yr$11,200/mo",Ramit Kar,https://www.spacelist.ca/listings/789857/on/toronto/for-lease/industrial/600-118_howden_road
"3,500 ft²","$6,550/mo",100 - 789 Warden Avenue,"Toronto, ON","$22.46/sf/yr$6,550/mo",Ramit Kar,https://www.spacelist.ca/listings/811745/on/toronto/for-lease/industrial/100-789_warden_avenue
541 ft²,"$1,944/mo",312 - 1849 Yonge St,"Toronto, ON","$43.14/sf/yr$1,944/mo",Bliss Karmody,https://www.spacelist.ca/listings/815022/on/toronto/for-lease/office/312-1849_yonge_st
"2,184 ft²","$2,912/mo",120 - 2005 Sheppard Avenue East,"Toronto, ON","$16.00/sf/yr$2,912/mo",Allan Taylor,https://www.spacelist.ca/listings/816909/on/toronto/for-lease/office/120-2005_sheppard_avenue_east
"2,184 ft²","$2,912/mo",120 - 2005 Sheppard Avenue East,"Toronto, ON","$16.00/sf/yr$2,912/mo",Allan Taylor,https://www.spacelist.ca/listings/816910/on/toronto/for-lease/office/120-2005_sheppard_avenue_east
120 ft²,$900/mo,2219 - 4950 Yonge Street,"Toronto, ON",$90.00/sf/yr$900/mo,Sandy Doobay,https://www.spacelist.ca/listings/783614/on/toronto/for-lease/office/2219-4950_yonge_street
"3,214 ft²","$11,553/mo",418 - 1849 Yonge St,"Toronto, ON","$43.14/sf/yr$11,553/mo",Bliss Karmody,https://www.spacelist.ca/listings/815023/on/toronto/for-lease/office/418-1849_yonge_st
636 ft²,"$2,286/mo",210 - 1849 Yonge St,"Toronto, ON","$43.14/sf/yr$2,286/mo",Bliss Karmody,https://www.spacelist.ca/listings/815025/on/toronto/for-lease/office/210-1849_yonge_st
"1,283 ft²","$4,611/mo",407 - 1849 Yonge St,"Toronto, ON","$43.14/sf/yr$4,611/mo",Bliss Karmody,https://www.spacelist.ca/listings/815026/on/toronto/for-lease/office/407-1849_yonge_st
"1,500 ft²","$5,000/mo",303 - 181 Carlaw Ave,"Toronto, ON","$40.00/sf/yr$5,000/mo",Memnon Management Inc,https://www.spacelist.ca/listings/776215/on/toronto/for-lease/office/303-181_carlaw_ave
"3,300 ft²","$11,000/mo",409 - 235 Carlaw Ave,"Toronto, ON","$40.00/sf/yr$11,000/mo",Memnon Management Inc,https://www.spacelist.ca/listings/776202/on/toronto/for-lease/office/409-235_carlaw_ave
"2,200 ft²","$7,333/mo",206 - 235 Carlaw Ave,"Toronto, ON","$40.00/sf/yr$7,333/mo",Memnon Management Inc,https://www.spacelist.ca/listings/776209/on/toronto/for-lease/office/206-235_carlaw_ave
"1,500 ft²","$5,000/mo",207 - 235 Carlaw Ave,"Toronto, ON","$40.00/sf/yr$5,000/mo",Memnon Management Inc,https://www.spacelist.ca/listings/776204/on/toronto/for-lease/office/207-235_carlaw_ave
"2,401 ft²","$5,900/mo",400 - 1277 Finch Avenue West,"Toronto, ON","$29.49/sf/yr$5,900/mo",Ramit Kar,https://www.spacelist.ca/listings/597033/on/toronto/for-lease/industrial/400-1277_finch_avenue_west
"2,460-2,530 ft²","$8,200/mo",208 - 235 Carlaw Ave,"Toronto, ON","$40.00/sf/yr$8,200/mo",Memnon Management Inc,https://www.spacelist.ca/listings/776201/on/toronto/for-lease/office/208-235_carlaw_ave
"5,000 ft²","$16,250/mo",410 - 235 Carlaw Ave,"Toronto, ON","$39.00/sf/yr$16,250/mo",Memnon Management Inc,https://www.spacelist.ca/listings/776213/on/toronto/for-lease/office/410-235_carlaw_ave
"3,000 ft²","$10,250/mo",401 - 235 Carlaw Ave,"Toronto, ON","$41.00/sf/yr$10,250/mo",Memnon Management Inc,https://www.spacelist.ca/listings/776210/on/toronto/for-lease/office/401-235_carlaw_ave
"2,400 ft²","$7,800/mo",209 - 235 Carlaw Ave,"Toronto, ON","$39.00/sf/yr$7,800/mo",Memnon Management Inc,https://www.spacelist.ca/listings/776206/on/toronto/for-lease/office/209-235_carlaw_ave
200 ft²,Not available,102 - 32 Britain Street,"Toronto, ON","$3,000/mo",Verkspace,https://www.spacelist.ca/listings/204819/on/toronto/for-lease/office/102-32_britain_street
"4,000 ft²","$8,500/mo",14 - 1278 Saint Clair Avenue West,"Toronto, ON","$25.50/sf/yr$8,500/mo",Kelly Du-Bruins,https://www.spacelist.ca/listings/795676/on/toronto/for-lease/office-retail-medical/14-1278_saint_clair_avenue_west
86 ft²,$244/mo,Book a reserved coworking spot in SPACES ...,"Toronto, ON",$34.05/sf/yr$244/mo,Regus,https://www.spacelist.ca/listings/279820/on/toronto/for-lease/office/book_a_reserved_coworking_spot_in_spaces_the_shift-25_ontario_st
54 ft²,$121/mo,Coworking Non Reserve - 1655 Dupont St,"Toronto, ON",$26.89/sf/yr$121/mo,Regus,https://www.spacelist.ca/listings/279864/on/toronto/for-lease/office/coworking_non_reserve-1655_dupont_st
86 ft²,$244/mo,Find a dedicated desk and get down to ...,"Toronto, ON",$34.05/sf/yr$244/mo,Regus,https://www.spacelist.ca/listings/279939/on/toronto/for-lease/office/find_a_dedicated_desk_and_get_down_to_business_in_spaces_bay_street-200_bay_st
86 ft²,$244/mo,Find a dedicated desk and get down to ...,"Toronto, ON",$34.05/sf/yr$244/mo,Regus,https://www.spacelist.ca/listings/279806/on/toronto/for-lease/office/find_a_dedicated_desk_and_get_down_to_business_in_spaces_north_york-5200_yonge_st
54 ft²,$121/mo,Flexible workspace memberships in Queen ...,"Toronto, ON",$26.89/sf/yr$121/mo,Regus,https://www.spacelist.ca/listings/279863/on/toronto/for-lease/office/flexible_workspace_memberships_in_queen_west-180_john_st
86 ft²,$244/mo,Book a reserved coworking spot in Spaces ...,"Toronto, ON",$34.05/sf/yr$244/mo,Regus,https://www.spacelist.ca/listings/280007/on/toronto/for-lease/office/book_a_reserved_coworking_spot_in_spaces_yorkville-99_yorkville_ave
"10,000 ft²","$23,550/mo",500 - 4199 Dundas Street West,"Toronto, ON","$28.26/sf/yr$23,550/mo",Ramit Kar,https://www.spacelist.ca/listings/779859/on/toronto/for-lease/industrial/500-4199_dundas_street_west
86 ft²,$244/mo,Coworking dedicated - 1655 Dupont St,"Toronto, ON",$34.05/sf/yr$244/mo,Regus,https://www.spacelist.ca/listings/279803/on/toronto/for-lease/office/coworking_dedicated-1655_dupont_st
86 ft²,$244/mo,Join a collaborative coworking ...,"Toronto, ON",$34.05/sf/yr$244/mo,Regus,https://www.spacelist.ca/listings/279804/on/toronto/for-lease/office/join_a_collaborative_coworking_environment_in_queen_west-180_john_st
54 ft²,$121/mo,Work in SPACES THE SHIFT or anywhere else ...,"Toronto, ON",$26.89/sf/yr$121/mo,Regus,https://www.spacelist.ca/listings/279870/on/toronto/for-lease/office/work_in_spaces_the_shift_or_anywhere_else_in_our_global_network-25_ontario_st
86 ft²,$244/mo,Find a dedicated desk and get down to ...,"Toronto, ON",$34.05/sf/yr$244/mo,Regus,https://www.spacelist.ca/listings/279957/on/toronto/for-lease/office/find_a_dedicated_desk_and_get_down_to_business_in_spaces_liberty_village-80_atlantic_ave
"11,593 ft²",Contact,130 Adelaide Street West,"Toronto, ON",ContactContact,Rob Renaud,https://www.spacelist.ca/listings/771826/on/toronto/for-lease/office/130_adelaide_street_west
54 ft²,$121/mo,All-inclusive access to coworking space ...,"Toronto, ON",$26.89/sf/yr$121/mo,Regus,https://www.spacelist.ca/listings/279866/on/toronto/for-lease/office/all-inclusive_access_to_coworking_space_in_spaces_north_york-5200_yonge_st
25 ft²,$300/mo,Have us take care of everything while you ...,"Toronto, ON",$144.00/sf/yr$300/mo,Regus,https://www.spacelist.ca/listings/626723/on/toronto/for-lease/office/have_us_take_care_of_everything_while_you_focus_on_growing_your_business-460_front_st_w
"2,000-5,000 ft²","$4,960/mo",200 - 512 Coronation Drive,"Toronto, ON","$29.76/sf/yr$4,960/mo",Ramit Kar,https://www.spacelist.ca/listings/795126/on/toronto/for-lease/industrial/200-512_coronation_drive
"1,000-2,100 ft²","$3,547/mo",900 - 217 Carlingview Drive,"Toronto, ON","$42.57/sf/yr$3,547/mo",Ramit Kar,https://www.spacelist.ca/listings/811079/on/toronto/for-lease/industrial/900-217_carlingview_drive
"1,100 ft²","$3,550/mo",200 - 3 Parnell Avenue,"Toronto, ON","$38.73/sf/yr$3,550/mo",Ramit Kar,https://www.spacelist.ca/listings/808988/on/toronto/for-lease/industrial/200-3_parnell_avenue
54 ft²,$125/mo,Unlimited coworking access in West ...,"Toronto, ON",$27.89/sf/yr$125/mo,Regus,https://www.spacelist.ca/listings/469496/on/toronto/for-lease/office/unlimited_coworking_access_in_west_toronto-etobicoke-10_four_seasons_pl
"3,200 ft²","$5,650/mo",800 - 66 Clarkson Avenue,"Toronto, ON","$21.19/sf/yr$5,650/mo",Ramit Kar,https://www.spacelist.ca/listings/747080/on/toronto/for-lease/industrial/800-66_clarkson_avenue
"7,000 ft²","$16,500/mo",500 - 57 Brydon Drive,"Toronto, ON","$28.29/sf/yr$16,500/mo",Ramit Kar,https://www.spacelist.ca/listings/817676/on/toronto/for-lease/industrial/500-57_brydon_drive
"4,662 ft²","$9,400/mo",600 - 72 Galaxy Boulevard,"Toronto, ON","$24.20/sf/yr$9,400/mo",Ramit Kar,https://www.spacelist.ca/listings/796627/on/toronto/for-lease/industrial/600-72_galaxy_boulevard
323 ft²,Not available,Tailor-made dream offices for 5 persons ...,"Toronto, ON","$5,429/mo",Regus,https://www.spacelist.ca/listings/279350/on/toronto/for-lease/office/tailor-made_dream_offices_for_5_persons_in_spaces_bay_street-200_bay_st
323 ft²,Not available,Find office space in Spaces Liberty ...,"Toronto, ON","$3,116/mo",Regus,https://www.spacelist.ca/listings/279357/on/toronto/for-lease/office/find_office_space_in_spaces_liberty_village_for_5_persons_with_everything_taken_care_of-80_atlantic_ave
323 ft²,Not available,Tailor-made dream offices for 5 persons ...,"Toronto, ON","$1,765/mo",Regus,https://www.spacelist.ca/listings/279367/on/toronto/for-lease/office/tailor-made_dream_offices_for_5_persons_in_spaces_the_shift-25_ontario_st
162 ft²,Not available,Tailor-made dream offices for 3 persons ...,"Toronto, ON","$1,954/mo",Regus,https://www.spacelist.ca/listings/279502/on/toronto/for-lease/office/tailor-made_dream_offices_for_3_persons_in_spaces_bay_street-200_bay_st
162 ft²,Not available,Beautifully designed office space for 3 ...,"Toronto, ON","$1,076/mo",Regus,https://www.spacelist.ca/listings/279520/on/toronto/for-lease/office/beautifully_designed_office_space_for_3_persons_in_spaces_the_shift-25_ontario_st
86 ft²,Not available,Private office for 1 person - 1655 Dupont St,"Toronto, ON",$660/mo,Regus,https://www.spacelist.ca/listings/279651/on/toronto/for-lease/office/private_office_for_1_person-1655_dupont_st
162 ft²,Not available,Private office space for 3 persons in ...,"Toronto, ON",$755/mo,Regus,https://www.spacelist.ca/listings/280115/on/toronto/for-lease/office/private_office_space_for_3_persons_in_west_toronto-etobicoke-10_four_seasons_pl
"1,076 ft²",Not available,All-inclusive access to professional ...,"Toronto, ON","$4,173/mo",Regus,https://www.spacelist.ca/listings/280117/on/toronto/for-lease/office/all-inclusive_access_to_professional_office_space_for_15_persons_in_west_toronto-etobicoke-10_four_seasons_pl
162 ft²,Not available,All-inclusive access to professional ...,"Toronto, ON",$745/mo,Regus,https://www.spacelist.ca/listings/282452/on/toronto/for-lease/office/all-inclusive_access_to_professional_office_space_for_3_persons_in_liberty_square-3601_hwy-7
323 ft²,Not available,Fully serviced private office space for ...,"Toronto, ON","$2,426/mo",Regus,https://www.spacelist.ca/listings/282453/on/toronto/for-lease/office/fully_serviced_private_office_space_for_you_and_your_team_in_liberty_square-3601_hwy-7
"1,076 ft²",Not available,Open plan office space for + 15 people - ...,"Toronto, ON","$6,997/mo",Regus,https://www.spacelist.ca/listings/282454/on/toronto/for-lease/office/open_plan_office_space_for_15_people-3601_hwy-7
108 ft²,$566/mo,All-inclusive access to coworking space ...,"Toronto, ON",$62.89/sf/yr$566/mo,Regus,https://www.spacelist.ca/listings/297874/on/toronto/for-lease/office/all-inclusive_access_to_coworking_space_in_yonge_shuter-229_yonge_st
108 ft²,$254/mo,All-inclusive access to coworking space ...,"Toronto, ON",$28.22/sf/yr$254/mo,Regus,https://www.spacelist.ca/listings/298376/on/toronto/for-lease/office/all-inclusive_access_to_coworking_space_in_yonge_and_lawrence-3080_yonge_st
108 ft²,$556/mo,All-inclusive access to coworking space ...,"Toronto, ON",$61.78/sf/yr$556/mo,Regus,https://www.spacelist.ca/listings/298377/on/toronto/for-lease/office/all-inclusive_access_to_coworking_space_in_yonge_and_richmond_centre-151_yonge_st
108 ft²,$254/mo,Coworking space in Liberty Square - 3601 ...,"Toronto, ON",$28.22/sf/yr$254/mo,Regus,https://www.spacelist.ca/listings/298429/on/toronto/for-lease/office/coworking_space_in_liberty_square-3601_hwy-7
108 ft²,$405/mo,All-inclusive access to coworking space ...,"Toronto, ON",$45.00/sf/yr$405/mo,Regus,https://www.spacelist.ca/listings/298605/on/toronto/for-lease/office/all-inclusive_access_to_coworking_space_in_toronto_street-36_toronto_st
108 ft²,$377/mo,All-inclusive access to coworking space ...,"Toronto, ON",$41.89/sf/yr$377/mo,Regus,https://www.spacelist.ca/listings/298733/on/toronto/for-lease/office/all-inclusive_access_to_coworking_space_in_don_mills-895_don_mills_rd
108 ft²,$405/mo,Find a dedicated desk in University & ...,"Toronto, ON",$45.00/sf/yr$405/mo,Regus,https://www.spacelist.ca/listings/298858/on/toronto/for-lease/office/find_a_dedicated_desk_in_university_dundas-439_university_ave
108 ft²,$339/mo,Join a collaborative coworking ...,"Toronto, ON",$37.67/sf/yr$339/mo,Regus,https://www.spacelist.ca/listings/298862/on/toronto/for-lease/office/join_a_collaborative_coworking_environment_in_islington_station-3250_bloor_st_w
215 ft²,Not available,Fully serviced private office space for ...,"Toronto, ON","$1,000/mo",Regus,https://www.spacelist.ca/listings/469500/on/toronto/for-lease/office/fully_serviced_private_office_space_for_you_and_your_team_in_west_toronto-etobicoke-10_four_seasons_pl
484 ft²,Not available,Fully serviced open plan office space for ...,"Toronto, ON","$2,672/mo",Regus,https://www.spacelist.ca/listings/469501/on/toronto/for-lease/office/fully_serviced_open_plan_office_space_for_you_and_your_team_in_west_toronto-etobicoke-10_four_seasons_pl
90 ft²,$244/mo,Flexible office memberships in Yonge & ...,"Toronto, ON",$32.53/sf/yr$244/mo,Regus,https://www.spacelist.ca/listings/469534/on/toronto/for-lease/office/flexible_office_memberships_in_yonge_shuter-229_yonge_st
215 ft²,Not available,Find office space in SPACES THE SHIFT for ...,"Toronto, ON","$1,793/mo",Regus,https://www.spacelist.ca/listings/458316/on/toronto/for-lease/office/find_office_space_in_spaces_the_shift_for_4_persons_with_everything_taken_care_of-25_ontario_st
484 ft²,Not available,Beautifully designed open plan office ...,"Toronto, ON","$1,076/mo",Regus,https://www.spacelist.ca/listings/458317/on/toronto/for-lease/office/beautifully_designed_open_plan_office_space_for_10_persons_in_spaces_the_shift-25_ontario_st
86 ft²,$332/mo,Flexible office memberships in 10 Milner ...,"Toronto, ON",$46.33/sf/yr$332/mo,Regus,https://www.spacelist.ca/listings/459380/on/toronto/for-lease/office/flexible_office_memberships_in_10_milner_business_court-10_milner_business_ct
86 ft²,$244/mo,Flexible office memberships in Davisville ...,"Toronto, ON",$34.05/sf/yr$244/mo,Regus,https://www.spacelist.ca/listings/460532/on/toronto/for-lease/office/flexible_office_memberships_in_davisville_centre-1920_yonge_st
86 ft²,$244/mo,All-inclusive access to office in Eaton ...,"Toronto, ON",$34.05/sf/yr$244/mo,Regus,https://www.spacelist.ca/listings/460557/on/toronto/for-lease/office/all-inclusive_access_to_office_in_eaton_centre-1_dundas_st_w
215 ft²,Not available,Private office space tailored to your ...,"Toronto, ON","$1,180/mo",Regus,https://www.spacelist.ca/listings/465864/on/toronto/for-lease/office/private_office_space_tailored_to_your_business_unique_needs_in_liberty_square-3601_hwy-7
86 ft²,$332/mo,Flexible office memberships in Parkway ...,"Toronto, ON",$46.33/sf/yr$332/mo,Regus,https://www.spacelist.ca/listings/466851/on/toronto/for-lease/office/flexible_office_memberships_in_parkway_place-251_consumers_rd
108 ft²,$330/mo,Join a collaborative coworking ...,"Toronto, ON",$36.67/sf/yr$330/mo,Regus,https://www.spacelist.ca/listings/298351/on/toronto/for-lease/office/join_a_collaborative_coworking_environment_in_bloor_and_yonge-2_bloor_st_west
86 ft²,$244/mo,All-inclusive access to office in Bloor ...,"Toronto, ON",$34.05/sf/yr$244/mo,Regus,https://www.spacelist.ca/listings/459473/on/toronto/for-lease/office/all-inclusive_access_to_office_in_bloor_and_yonge-2_bloor_st_west
86 ft²,$244/mo,Flexible office memberships in Brookfield ...,"Toronto, ON",$34.05/sf/yr$244/mo,Regus,https://www.spacelist.ca/listings/459484/on/toronto/for-lease/office/flexible_office_memberships_in_brookfield_place-161_bay_st
86 ft²,$244/mo,All-inclusive access to office in First ...,"Toronto, ON",$34.05/sf/yr$244/mo,Regus,https://www.spacelist.ca/listings/460584/on/toronto/for-lease/office/all-inclusive_access_to_office_in_first_canadian_place-100_king_st_w
323 ft²,Not available,Private office space for 5 persons in ...,"Toronto, ON","$1,538/mo",Regus,https://www.spacelist.ca/listings/282953/on/toronto/for-lease/office/private_office_space_for_5_persons_in_king_west-500_king_st_w
162 ft²,Not available,Private office space for 3 persons in ...,"Toronto, ON","$1,057/mo",Regus,https://www.spacelist.ca/listings/282954/on/toronto/for-lease/office/private_office_space_for_3_persons_in_king_west-500_king_st_w
108 ft²,Not available,All-inclusive access to professional ...,"Toronto, ON",$707/mo,Regus,https://www.spacelist.ca/listings/463480/on/toronto/for-lease/office/all-inclusive_access_to_professional_office_space_for_2_persons_in_king_west-500_king_st_w
86 ft²,$244/mo,Flexible office memberships in King West ...,"Toronto, ON",$34.05/sf/yr$244/mo,Regus,https://www.spacelist.ca/listings/463475/on/toronto/for-lease/office/flexible_office_memberships_in_king_west-500_king_st_w
86 ft²,Not available,Find office space in Spaces North York ...,"Toronto, ON",$764/mo,Regus,https://www.spacelist.ca/listings/279654/on/toronto/for-lease/office/find_office_space_in_spaces_north_york_for_1_person_with_everything_taken_care_of-5200_yonge_st
162 ft²,Not available,Beautifully designed office space for 3 ...,"Toronto, ON","$1,378/mo",Regus,https://www.spacelist.ca/listings/279506/on/toronto/for-lease/office/beautifully_designed_office_space_for_3_persons_in_spaces_north_york-5200_yonge_st
162 ft²,Not available,Beautifully designed office space for 3 ...,"Toronto, ON","$3,295/mo",Regus,https://www.spacelist.ca/listings/279510/on/toronto/for-lease/office/beautifully_designed_office_space_for_3_persons_in_spaces_the_well-460_front_st_w
162 ft²,Not available,24/7 access to designer office space for ...,"Toronto, ON","$1,482/mo",Regus,https://www.spacelist.ca/listings/279504/on/toronto/for-lease/office/247_access_to_designer_office_space_for_3_persons_in_queen_west-180_john_st
110 ft²,Not available,Private office for 2 people in Spaces ...,"Toronto, ON",$773/mo,Regus,https://www.spacelist.ca/listings/458324/on/toronto/for-lease/office/private_office_for_2_people_in_spaces_yonge_and_st_clair-2_st_clair_ave_w
215 ft²,Not available,Private office for 4 people in Spaces ...,"Toronto, ON","$1,265/mo",Regus,https://www.spacelist.ca/listings/458325/on/toronto/for-lease/office/private_office_for_4_people_in_spaces_yonge_and_st_clair-2_st_clair_ave_w
480 ft²,Not available,Large office in Spaces Yonge and St Clair ...,"Toronto, ON","$1,265/mo",Regus,https://www.spacelist.ca/listings/458326/on/toronto/for-lease/office/large_office_in_spaces_yonge_and_st_clair-2_st_clair_ave_w
"1,076 ft²",Not available,All-inclusive access to professional ...,"Toronto, ON","$7,951/mo",Regus,https://www.spacelist.ca/listings/282829/on/toronto/for-lease/office/all-inclusive_access_to_professional_office_space_for_15_persons_in_yonge_and_sheppard-4711_yonge_st
323 ft²,Not available,Private office space tailored to your ...,"Toronto, ON","$1,973/mo",Regus,https://www.spacelist.ca/listings/282827/on/toronto/for-lease/office/private_office_space_tailored_to_your_business_unique_needs_in_yonge_and_sheppard-4711_yonge_st
86 ft²,$244/mo,Flexible office memberships in Waterpark ...,"Toronto, ON",$34.05/sf/yr$244/mo,Regus,https://www.spacelist.ca/listings/468963/on/toronto/for-lease/office/flexible_office_memberships_in_waterpark_place-88_queens_quay_w
